name,damage_class,type,power,accuracy,pp,priority,target,effect,effect_chance,pokemon,pokemon_count,generation,meta,machines_count,machines
pound,physical,normal,40.0,100.0,35,0,selected-pokemon,Inflicts regular damage.,,"clefairy, clefable, jigglypuff, wigglytuff, poliwag, poliwhirl, poliwrath, grimer, muk, drowzee, hypno, chansey, kangaskhan, mr-mime, jynx, mew, cleffa, igglybuff, togepi, togetic, politoed, sunflora, smoochum, blissey, treecko, grovyle, sceptile, nuzleaf, shiftry, whismur, loudred, exploud, meditite, medicham, gulpin, swalot, piplup, prinplup, empoleon, kricketot, kricketune, buneary, lopunny, mime-jr, happiny, finneon, lumineon, togekiss, regigigas, audino, timburr, gurdurr, conkeldurr, trubbish, garbodor, minccino, cinccino, gothita, gothorita, gothitelle, alomomola, mienfoo, mienshao, golett, golurk, froakie, frogadier, greninja, helioptile, heliolisk, popplio, brionne, primarina, oricorio-baile, salazzle, nihilego, sobble, drizzile, inteleon, mr-rime, calyrex, quaxly, quaxwell, quaquaval, tandemaus, maushold, scream-tail, sceptile-mega, audino-mega, lopunny-mega, grimer-alola, muk-alola, greninja-battle-bond, greninja-ash, oricorio-pom-pom, oricorio-pau, oricorio-sensu, salazzle-totem, mr-mime-galar, calyrex-ice, calyrex-shadow, maushold-family-of-three",102,generation-i,damage,0,
karate-chop,physical,fighting,50.0,100.0,25,0,selected-pokemon,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,,"mankey, primeape, machop, machoke, machamp, elekid, magby, sawk, pancham, pangoro, hawlucha",11,generation-i,damage,0,
double-slap,physical,normal,15.0,85.0,10,0,selected-pokemon,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"clefairy, clefable, jigglypuff, wigglytuff, poliwag, poliwhirl, poliwrath, chansey, mr-mime, jynx, pichu, politoed, aipom, blissey, skitty, delcatty, buizel, mime-jr, audino, trubbish, garbodor, minccino, gothita, gothorita, gothitelle, alomomola, mienfoo, mienshao, bunnelby, diggersby, popplio, brionne, primarina, oricorio-baile, salandit, salazzle, steenee, tsareena, audino-mega, oricorio-pom-pom, oricorio-pau, oricorio-sensu, salazzle-totem",43,generation-i,damage,0,
comet-punch,physical,normal,18.0,85.0,15,0,selected-pokemon,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"hitmonchan, kangaskhan, ledyba, ledian, timburr, pancham, pangoro, buzzwole, kangaskhan-mega",9,generation-i,damage,0,
mega-punch,physical,normal,80.0,85.0,20,0,selected-pokemon,Inflicts regular damage.,,"charmander, charmeleon, charizard, squirtle, wartortle, blastoise, pikachu, raichu, nidoqueen, nidoking, clefairy, clefable, jigglypuff, wigglytuff, psyduck, golduck, mankey, primeape, poliwhirl, poliwrath, abra, kadabra, alakazam, machop, machoke, machamp, geodude, graveler, golem, slowbro, gengar, drowzee, hypno, cubone, marowak, hitmonlee, hitmonchan, lickitung, rhydon, chansey, kangaskhan, mr-mime, jynx, electabuzz, magmar, snorlax, dragonite, mewtwo, mew, typhlosion, totodile, croconaw, feraligatr, ledyba, ledian, pichu, cleffa, igglybuff, togepi, togetic, flaaffy, ampharos, marill, azumarill, sudowoodo, politoed, aipom, quagsire, slowking, snubbull, granbull, sneasel, teddiursa, ursaring, delibird, tyrogue, hitmontop, smoochum, elekid, magby, miltank, blissey, tyranitar, treecko, grovyle, sceptile, torchic, combusken, blaziken, marshtomp, swampert, lombre, ludicolo, ralts, kirlia, gardevoir, breloom, slakoth, vigoroth, slaking, whismur, loudred, exploud, makuhita, hariyama, sableye, mawile, aggron, meditite, medicham, plusle, minun, volbeat, illumise, grumpig, spinda, flygon, cacnea, cacturne, zangoose, kecleon, dusclops, regirock, regice, registeel, groudon, jirachi, buneary, lopunny, munchlax, riolu, lucario, croagunk, toxicroak, snover, abomasnow, weavile, lickilicky, rhyperior, electivire, magmortar, togekiss, gallade, dusknoir, regigigas, victini, audino, timburr, gurdurr, conkeldurr, seismitoad, throh, sawk, krokorok, krookodile, darumaka, darmanitan-standard, scraggy, scrafty, zoroark, reuniclus, cubchoo, beartic, mienfoo, mienshao, druddigon, golett, golurk, diggersby, pancham, pangoro, heliolisk, hawlucha, goodra, incineroar, stufful, bewear, oranguru, passimian, turtonator, hakamo-o, kommo-o, tapu-bulu, buzzwole, guzzlord, marshadow, zeraora, melmetal, grookey, thwackey, rillaboom, coalossal, toxtricity-amped, clobbopus, grapploct, impidimp, morgrem, grimmsnarl, obstagoon, mr-rime, dracozolt, arctozolt, kubfu, urshifu-single-strike, zarude, deoxys-attack, deoxys-defense, deoxys-speed, darmanitan-zen, kangaskhan-mega, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, raichu-alola, golem-alola, marowak-alola, lycanroc-midnight, pikachu-partner-cap, pikachu-world-cap, slowbro-galar, mr-mime-galar, slowking-galar, darumaka-galar, darmanitan-galar-standard, darmanitan-galar-zen, toxtricity-low-key, urshifu-rapid-strike, zarude-dada",231,generation-i,damage,2,"sword-shield, red-blue, yellow"
pay-day,physical,normal,40.0,100.0,20,0,selected-pokemon,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",,"pikachu, raichu, nidoqueen, nidoking, meowth, persian, psyduck, golduck, mankey, primeape, rapidash, slowpoke, slowbro, seel, dewgong, rhydon, eevee, vaporeon, jolteon, flareon, snorlax, mewtwo, mew, hoppip, espeon, umbreon, slowking, munchlax, rhyperior, leafeon, glaceon, purrloin, liepard, espurr, meowstic-male, sylveon, litten, torracat, incineroar, zeraora, perrserker, indeedee-male, calyrex, meowstic-female, mewtwo-mega-x, mewtwo-mega-y, slowbro-mega, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, raichu-alola, meowth-alola, persian-alola, pikachu-partner-cap, pikachu-starter, eevee-starter, pikachu-world-cap, meowth-galar, rapidash-galar, slowpoke-galar, slowbro-galar, slowking-galar, indeedee-female, calyrex-ice, calyrex-shadow",68,generation-i,damage,3,"sword-shield, red-blue, yellow, lets-go-pikachu-lets-go-eevee"
fire-punch,physical,fire,75.0,100.0,15,0,selected-pokemon,Inflicts regular damage.  Has a 10% chance to burn the target.,10.0,"charmander, charmeleon, charizard, nidoqueen, nidoking, clefairy, clefable, jigglypuff, wigglytuff, mankey, primeape, abra, kadabra, alakazam, machop, machoke, machamp, geodude, graveler, golem, grimer, muk, gastly, haunter, gengar, drowzee, hypno, cubone, marowak, hitmonchan, lickitung, rhydon, chansey, kangaskhan, mr-mime, electabuzz, magmar, snorlax, dragonite, mewtwo, mew, typhlosion, sentret, furret, flaaffy, ampharos, sudowoodo, aipom, slowking, snubbull, granbull, teddiursa, ursaring, elekid, magby, miltank, blissey, tyranitar, combusken, blaziken, lombre, ludicolo, ralts, kirlia, gardevoir, slakoth, vigoroth, slaking, whismur, loudred, exploud, makuhita, hariyama, nosepass, sableye, aggron, meditite, medicham, gulpin, swalot, grumpig, spinda, flygon, zangoose, kecleon, dusclops, regirock, groudon, jirachi, deoxys-normal, chimchar, monferno, infernape, cranidos, rampardos, ambipom, buneary, lopunny, munchlax, lickilicky, rhyperior, electivire, magmortar, gallade, probopass, dusknoir, uxie, mesprit, azelf, regigigas, victini, tepig, pignite, emboar, watchog, pansear, simisear, audino, timburr, gurdurr, conkeldurr, throh, sawk, darumaka, darmanitan-standard, scraggy, scrafty, reuniclus, eelektross, druddigon, golett, golurk, heatmor, meloetta-aria, braixen, delphox, diggersby, pancham, pangoro, heliolisk, hawlucha, goodra, hoopa, incineroar, gumshoos, kommo-o, marshadow, blacephalon, zeraora, cinderace, coalossal, toxtricity-amped, grimmsnarl, obstagoon, kubfu, urshifu-single-strike, ursaluna, sneasler, pawmot, garganacl, annihilape, scream-tail, iron-hands, iron-thorns, iron-valiant, okidogi, deoxys-attack, deoxys-defense, deoxys-speed, darmanitan-zen, meloetta-pirouette, charizard-mega-x, charizard-mega-y, alakazam-mega, gengar-mega, kangaskhan-mega, mewtwo-mega-x, mewtwo-mega-y, ampharos-mega, tyranitar-mega, blaziken-mega, gardevoir-mega, aggron-mega, medicham-mega, sableye-mega, gallade-mega, audino-mega, groudon-primal, hoopa-unbound, lopunny-mega, geodude-alola, graveler-alola, golem-alola, grimer-alola, muk-alola, marowak-alola, gumshoos-totem, lycanroc-midnight, kommo-o-totem, marowak-totem, slowking-galar, darumaka-galar, darmanitan-galar-standard, darmanitan-galar-zen, toxtricity-low-key, urshifu-rapid-strike, typhlosion-hisui, goodra-hisui, ursaluna-bloodmoon",209,generation-i,damage+ailment,6,"sword-shield, lets-go-pikachu-lets-go-eevee, gold-silver, crystal, scarlet-violet, the-teal-mask, the-indigo-disk"
ice-punch,physical,ice,75.0,100.0,15,0,selected-pokemon,Inflicts regular damage.  Has a 10% chance to freeze the target.,10.0,"squirtle, wartortle, blastoise, nidoqueen, nidoking, clefairy, clefable, jigglypuff, wigglytuff, psyduck, golduck, mankey, primeape, poliwhirl, poliwrath, abra, kadabra, alakazam, machop, machoke, machamp, slowbro, grimer, muk, gastly, haunter, gengar, drowzee, hypno, hitmonchan, lickitung, rhydon, chansey, kangaskhan, mr-mime, jynx, electabuzz, snorlax, dragonite, mewtwo, mew, totodile, croconaw, feraligatr, sentret, furret, ledyba, ledian, flaaffy, ampharos, marill, azumarill, sudowoodo, politoed, aipom, wooper, quagsire, slowking, snubbull, granbull, sneasel, teddiursa, ursaring, delibird, smoochum, elekid, miltank, blissey, tyranitar, marshtomp, swampert, lombre, ludicolo, ralts, kirlia, gardevoir, slakoth, vigoroth, slaking, whismur, loudred, exploud, makuhita, hariyama, nosepass, sableye, mawile, aggron, meditite, medicham, volbeat, illumise, gulpin, swalot, grumpig, spinda, zangoose, kecleon, dusclops, metang, metagross, regirock, regice, registeel, jirachi, deoxys-normal, buizel, floatzel, ambipom, buneary, lopunny, munchlax, riolu, lucario, croagunk, toxicroak, snover, abomasnow, weavile, lickilicky, rhyperior, electivire, gallade, probopass, dusknoir, froslass, uxie, mesprit, azelf, regigigas, watchog, panpour, simipour, audino, timburr, gurdurr, conkeldurr, seismitoad, throh, sawk, scraggy, scrafty, reuniclus, cubchoo, beartic, golett, golurk, meloetta-aria, frogadier, greninja, diggersby, pancham, pangoro, hoopa, gumshoos, crabrawler, crabominable, stufful, bewear, kommo-o, tapu-fini, buzzwole, marshadow, melmetal, clobbopus, grapploct, grimmsnarl, obstagoon, mr-rime, eiscue-ice, kubfu, urshifu-single-strike, ursaluna, pawmot, garganacl, palafin, cetitan, annihilape, scream-tail, iron-bundle, iron-hands, iron-thorns, iron-valiant, okidogi, deoxys-attack, deoxys-defense, deoxys-speed, meloetta-pirouette, blastoise-mega, alakazam-mega, gengar-mega, kangaskhan-mega, mewtwo-mega-x, mewtwo-mega-y, tyranitar-mega, gardevoir-mega, mawile-mega, aggron-mega, medicham-mega, lucario-mega, abomasnow-mega, swampert-mega, sableye-mega, gallade-mega, audino-mega, slowbro-mega, metagross-mega, hoopa-unbound, lopunny-mega, sandshrew-alola, sandslash-alola, grimer-alola, muk-alola, greninja-battle-bond, greninja-ash, gumshoos-totem, kommo-o-totem, slowbro-galar, mr-mime-galar, slowking-galar, darumaka-galar, darmanitan-galar-standard, darmanitan-galar-zen, eiscue-noice, urshifu-rapid-strike, palafin-hero, ursaluna-bloodmoon",227,generation-i,damage+ailment,6,"sword-shield, gold-silver, crystal, lets-go-pikachu-lets-go-eevee, scarlet-violet, the-teal-mask, the-indigo-disk"
thunder-punch,physical,electric,75.0,100.0,15,0,selected-pokemon,Inflicts regular damage.  Has a 10% chance to paralyze the target.,10.0,"charmander, charmeleon, charizard, pikachu, raichu, nidoqueen, nidoking, clefairy, clefable, jigglypuff, wigglytuff, mankey, primeape, abra, kadabra, alakazam, machop, machoke, machamp, geodude, graveler, golem, grimer, muk, gastly, haunter, gengar, drowzee, hypno, cubone, marowak, hitmonchan, lickitung, rhydon, chansey, kangaskhan, mr-mime, electabuzz, magmar, snorlax, dragonite, mewtwo, mew, typhlosion, sentret, furret, ledyba, ledian, pichu, flaaffy, ampharos, sudowoodo, aipom, slowking, snubbull, granbull, teddiursa, ursaring, elekid, magby, miltank, blissey, tyranitar, treecko, grovyle, sceptile, combusken, blaziken, lombre, ludicolo, ralts, kirlia, gardevoir, breloom, slakoth, vigoroth, slaking, whismur, loudred, exploud, makuhita, hariyama, nosepass, sableye, mawile, aggron, meditite, medicham, plusle, minun, volbeat, illumise, gulpin, swalot, grumpig, spinda, flygon, cacnea, cacturne, zangoose, kecleon, dusclops, metang, metagross, regirock, regice, registeel, groudon, jirachi, deoxys-normal, chimchar, monferno, infernape, cranidos, rampardos, pachirisu, ambipom, buneary, lopunny, munchlax, riolu, lucario, croagunk, toxicroak, lickilicky, rhyperior, electivire, magmortar, gallade, probopass, dusknoir, uxie, mesprit, azelf, regigigas, victini, pignite, emboar, watchog, audino, timburr, gurdurr, conkeldurr, throh, sawk, scraggy, scrafty, reuniclus, eelektross, druddigon, golett, golurk, heatmor, thundurus-incarnate, zekrom, meloetta-aria, chespin, quilladin, chesnaught, braixen, delphox, diggersby, pancham, pangoro, heliolisk, hawlucha, dedenne, goodra, hoopa, incineroar, gumshoos, crabrawler, crabominable, stufful, bewear, kommo-o, tapu-koko, buzzwole, xurkitree, marshadow, zeraora, melmetal, toxtricity-amped, grimmsnarl, obstagoon, morpeko-full-belly, dracozolt, arctozolt, kubfu, urshifu-single-strike, ursaluna, floragato, meowscarada, pawmo, pawmot, garganacl, annihilape, scream-tail, iron-hands, iron-thorns, gholdengo, iron-valiant, okidogi, deoxys-attack, deoxys-defense, deoxys-speed, meloetta-pirouette, thundurus-therian, charizard-mega-x, charizard-mega-y, alakazam-mega, gengar-mega, kangaskhan-mega, mewtwo-mega-x, mewtwo-mega-y, ampharos-mega, tyranitar-mega, blaziken-mega, gardevoir-mega, mawile-mega, aggron-mega, medicham-mega, lucario-mega, sceptile-mega, sableye-mega, gallade-mega, audino-mega, metagross-mega, groudon-primal, pikachu-rock-star, pikachu-belle, pikachu-pop-star, pikachu-phd, pikachu-libre, pikachu-cosplay, hoopa-unbound, lopunny-mega, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, raichu-alola, geodude-alola, graveler-alola, golem-alola, grimer-alola, muk-alola, marowak-alola, gumshoos-totem, lycanroc-midnight, kommo-o-totem, pikachu-partner-cap, marowak-totem, pikachu-starter, pikachu-world-cap, slowking-galar, toxtricity-low-key, morpeko-hangry, urshifu-rapid-strike, typhlosion-hisui, goodra-hisui, ursaluna-bloodmoon",264,generation-i,damage+ailment,6,"sword-shield, lets-go-pikachu-lets-go-eevee, gold-silver, crystal, scarlet-violet, the-teal-mask, the-indigo-disk"
scratch,physical,normal,40.0,100.0,35,0,selected-pokemon,Inflicts regular damage.,,"charmander, charmeleon, charizard, sandshrew, sandslash, nidoran-f, nidorina, nidoqueen, paras, parasect, diglett, dugtrio, meowth, persian, psyduck, golduck, mankey, primeape, kabuto, kabutops, totodile, croconaw, feraligatr, sentret, furret, aipom, sneasel, teddiursa, ursaring, torchic, combusken, blaziken, slakoth, vigoroth, slaking, nincada, ninjask, shedinja, sableye, zangoose, anorith, armaldo, kecleon, absol, chimchar, monferno, infernape, ambipom, glameow, purugly, stunky, skuntank, weavile, purrloin, liepard, pansage, pansear, panpour, drilbur, excadrill, zorua, zoroark, axew, fraxure, haxorus, druddigon, pawniard, bisharp, fennekin, braixen, delphox, espurr, meowstic-male, binacle, barbaracle, litten, torracat, incineroar, salandit, salazzle, mimikyu-disguised, zeraora, grookey, thwackey, rillaboom, perrserker, zarude, ursaluna, sneasler, sprigatito, floragato, meowscarada, pawmi, pawmo, pawmot, shroodle, grafaiai, annihilape, kingambit, munkidori, meowstic-female, charizard-mega-x, charizard-mega-y, blaziken-mega, absol-mega, sableye-mega, sandshrew-alola, sandslash-alola, diglett-alola, dugtrio-alola, meowth-alola, persian-alola, mimikyu-busted, mimikyu-totem-disguised, mimikyu-totem-busted, meowth-galar, zarude-dada, sneasel-hisui, zorua-hisui, zoroark-hisui, ursaluna-bloodmoon",121,generation-i,damage,0,
